SPEC,LONG,LAT
Anopheles pseudopunctipennis,-100.410278,17.1525
Anopheles pseudopunctipennis,-96.256111,17.806667
Anopheles pseudopunctipennis,-106.223333,23.537222
Anopheles pseudopunctipennis,-106.620444,23.885528
Anopheles pseudopunctipennis,-105.078694,19.538694
Anopheles pseudopunctipennis,-96.289694,16.659889
Anopheles pseudopunctipennis,-108.343055,25.998611
Anopheles pseudopunctipennis,-104.851444,21.471944
Anopheles pseudopunctipennis,-90.99175,16.763611
Anopheles pseudopunctipennis,-90.873889,16.207222
Anopheles pseudopunctipennis,-102.784333,21.231833
Anopheles pseudopunctipennis,-107.693389,25.093722
Anopheles pseudopunctipennis,-107.300583,24.802972
Anopheles pseudopunctipennis,-108.617667,26.408806
Anopheles pseudopunctipennis,-91.148889,16.1375
Anopheles pseudopunctipennis,-96.3625,16.922222
Anopheles pseudopunctipennis,-107.870361,25.569222
Anopheles pseudopunctipennis,-102.315694,21.229056
Anopheles pseudopunctipennis,-96.926389,15.888333
Anopheles pseudopunctipennis,-92.475,14.791667
Anopheles pseudopunctipennis,-92.714889,17.201278
Anopheles pseudopunctipennis,-100.6865,19.058056
Anopheles pseudopunctipennis,-92.053611,16.898889
Anopheles pseudopunctipennis,-95.333611,16.34875
Anopheles pseudopunctipennis,-100.145555,18.384444
Anopheles pseudopunctipennis,-96.085278,16.499528
Anopheles pseudopunctipennis,-98.953611,17.569444
Anopheles pseudopunctipennis,-95.5975,16.414167
Anopheles pseudopunctipennis,-96.5405,17.276556
Anopheles pseudopunctipennis,-101.241667,17.470833
Anopheles pseudopunctipennis,-104.632889,19.223944
Anopheles pseudopunctipennis,-93.709194,16.092083
Anopheles pseudopunctipennis,-100.473333,18.270833
Anopheles pseudopunctipennis,-103.469972,19.770917
Anopheles pseudopunctipennis,-99.224722,16.766944
Anopheles pseudopunctipennis,-102.435417,19.138
Anopheles pseudopunctipennis,-105.134805,21.693472
Anopheles pseudopunctipennis,-96.740333,15.730806
Anopheles pseudopunctipennis,-108.986222,25.918944
Anopheles pseudopunctipennis,-104.376611,21.036778
Anopheles pseudopunctipennis,-102.299722,18.355917
Anopheles pseudopunctipennis,-88.145389,21.593694
Anopheles pseudopunctipennis,-105.341833,22.626472
Anopheles pseudopunctipennis,-99.293611,18.268333
Anopheles pseudopunctipennis,-92.723028,16.765861
Anopheles pseudopunctipennis,-105.332722,20.321167
Anopheles pseudopunctipennis,-95.638778,15.979639
Anopheles pseudopunctipennis,-104.797,21.835472
Anopheles pseudopunctipennis,-107.56125,25.788528
Anopheles pseudopunctipennis,-104.564861,21.4295
Anopheles pseudopunctipennis,-98.634,24.678194
Anopheles pseudopunctipennis,-99.548417,27.479806
Anopheles pseudopunctipennis,-99.602778,24.674111
Anopheles pseudopunctipennis,-99.9275,25.389694
Anopheles pseudopunctipennis,-99.5478,26.3002
Anopheles pseudopunctipennis,-98.114167,24.854861
Anopheles pseudopunctipennis,-99.179444,25.984444
Anopheles pseudopunctipennis,-100.537361,26.02
Anopheles pseudopunctipennis,-98.803611,24.964444
Anopheles pseudopunctipennis,-99.915303,25.121764
Anopheles pseudopunctipennis,-100.000661,25.705472
Anopheles pseudopunctipennis,-100.540694,26.534361
Anopheles pseudopunctipennis,-80.15349,-0.07712
Anopheles pseudopunctipennis,-73.805111,11.243
